hidden_size,n_layers,lr,weight_std,normalize,activation,batch_size,epochs,train_loss,val_loss,train_acc,test_acc,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_auc,test_auc,time_s
16,2,0.01,0.01,True,relu,32,213,0.6901390141969667,0.6901739967896685,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.686197648029709,0.7932900432900434,0.28551387786865234
16,2,0.05,0.01,True,relu,32,40,0.6901896416793633,0.6902234924618796,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.6809022763221235,0.7911255411255411,0.051851749420166016
16,2,0.1,0.01,True,relu,32,36,0.6897916555101664,0.6898379514035748,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.7404580152671757,0.8279220779220778,0.04643607139587402
32,2,0.01,0.01,True,relu,32,213,0.6901408961843528,0.6901775567338022,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.577057974004539,0.5941558441558441,0.31806039810180664
32,2,0.05,0.01,True,relu,32,67,0.6898707361613357,0.6899150644254406,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.6974761020562548,0.7283549783549783,0.09462571144104004
32,2,0.1,0.01,True,relu,32,37,0.689789800292833,0.6898378194488959,0.5413223140495868,0.5409836065573771,0.0,0.0,0.0,0.0,0.0,0.0,0.7212021181486831,0.7521645021645021,0.05481910705566406
8,1,0.01,0.1,True,relu,32,300,0.42511806392819407,0.4119559732411516,0.8429752066115702,0.8360655737704918,0.8476190476190476,0.8214285714285714,0.8018018018018018,0.8214285714285714,0.8240740740740741,0.8214285714285714,0.921257134997593,0.9361471861471862,0.2977454662322998
8,1,0.05,0.1,True,relu,32,300,0.29431715993771224,0.33396042545303,0.8842975206611571,0.8360655737704918,0.9029126213592233,0.8461538461538461,0.8378378378378378,0.7857142857142857,0.8691588785046729,0.8148148148148148,0.9464961144350457,0.9264069264069265,0.29166173934936523
8,1,0.1,0.1,True,relu,32,300,0.26141751102999694,0.32450386472006615,0.9256198347107438,0.8524590163934426,0.9345794392523364,0.8275862068965517,0.9009009009009009,0.8571428571428571,0.9174311926605505,0.8421052631578947,0.9583935080118287,0.9264069264069265,0.29497814178466797
16,1,0.01,0.1,True,relu,32,300,0.39407966332498756,0.39796082260313054,0.8553719008264463,0.8524590163934426,0.8653846153846154,0.8275862068965517,0.8108108108108109,0.8571428571428571,0.8372093023255814,0.8421052631578947,0.9238704353208171,0.9437229437229436,0.2727322578430176
